window,horizon,t,truth,median,low80,high80,q10,q50,q90,naive
76,4,2025-10-05,5.010666847229004,4.829010009765625,4.333010196685791,5.357648849487305,4.333010196685791,4.829010009765625,5.357648849487305,4.83050012588501
76,5,2025-10-06,4.986999988555908,4.835125923156738,4.314557075500488,5.378632545471191,4.314557075500488,4.835125923156738,5.378632545471191,4.83050012588501
76,6,2025-10-07,5.047999858856201,4.857420921325684,4.322264671325684,5.498284339904785,4.322264671325684,4.857420921325684,5.498284339904785,4.83050012588501
76,7,2025-10-08,5.046000003814697,4.907468795776367,4.31357479095459,5.554935455322266,4.31357479095459,4.907468795776367,5.554935455322266,4.83050012588501
77,1,2025-10-03,5.058000087738037,4.900722503662109,4.68754768371582,5.052929401397705,4.68754768371582,4.900722503662109,5.052929401397705,4.8979997634887695
77,2,2025-10-04,5.034333229064941,4.867396354675293,4.4953460693359375,5.2476396560668945,4.4953460693359375,4.867396354675293,5.2476396560668945,4.8979997634887695
77,3,2025-10-05,5.010666847229004,4.855238914489746,4.454922199249268,5.351810932159424,4.454922199249268,4.855238914489746,5.351810932159424,4.8979997634887695
77,4,2025-10-06,4.986999988555908,4.8854756355285645,4.374847412109375,5.4260783195495605,4.374847412109375,4.8854756355285645,5.4260783195495605,4.8979997634887695
77,5,2025-10-07,5.047999858856201,4.889388561248779,4.357571601867676,5.532212734222412,4.357571601867676,4.889388561248779,5.532212734222412,4.8979997634887695
77,6,2025-10-08,5.046000003814697,4.919977188110352,4.309590816497803,5.550793647766113,4.309590816497803,4.919977188110352,5.550793647766113,4.8979997634887695
77,7,2025-10-09,5.075500011444092,4.878530025482178,4.209063529968262,5.503558158874512,4.209063529968262,4.878530025482178,5.503558158874512,4.8979997634887695
78,1,2025-10-04,5.034333229064941,5.066126823425293,4.845517635345459,5.348283767700195,4.845517635345459,5.066126823425293,5.348283767700195,5.058000087738037
78,2,2025-10-05,5.010666847229004,5.086817741394043,4.762224197387695,5.463081359863281,4.762224197387695,5.086817741394043,5.463081359863281,5.058000087738037
78,3,2025-10-06,4.986999988555908,5.079753875732422,4.619628429412842,5.543116569519043,4.619628429412842,5.079753875732422,5.543116569519043,5.058000087738037
78,4,2025-10-07,5.047999858856201,5.070046901702881,4.523928642272949,5.629986763000488,4.523928642272949,5.070046901702881,5.629986763000488,5.058000087738037
78,5,2025-10-08,5.046000003814697,5.079441070556641,4.512042999267578,5.624476432800293,4.512042999267578,5.079441070556641,5.624476432800293,5.058000087738037
78,6,2025-10-09,5.075500011444092,5.066910743713379,4.4776811599731445,5.7247314453125,4.4776811599731445,5.066910743713379,5.7247314453125,5.058000087738037
78,7,2025-10-10,4.848499774932861,5.0512895584106445,4.518486499786377,5.793361186981201,4.518486499786377,5.0512895584106445,5.793361186981201,5.058000087738037
79,1,2025-10-05,5.010666847229004,5.030914306640625,4.7366042137146,5.307274341583252,4.7366042137146,5.030914306640625,5.307274341583252,5.034333229064941
79,2,2025-10-06,4.986999988555908,5.037442684173584,4.643618106842041,5.421286106109619,4.643618106842041,5.037442684173584,5.421286106109619,5.034333229064941
79,3,2025-10-07,5.047999858856201,5.033401012420654,4.578972339630127,5.4875383377075195,4.578972339630127,5.033401012420654,5.4875383377075195,5.034333229064941
79,4,2025-10-08,5.046000003814697,5.038064956665039,4.499452590942383,5.571397304534912,4.499452590942383,5.038064956665039,5.571397304534912,5.034333229064941
79,5,2025-10-09,5.075500011444092,5.0351104736328125,4.460256099700928,5.605907917022705,4.460256099700928,5.0351104736328125,5.605907917022705,5.034333229064941
79,6,2025-10-10,4.848499774932861,5.016645431518555,4.378386497497559,5.778054714202881,4.378386497497559,5.016645431518555,5.778054714202881,5.034333229064941
79,7,2025-10-11,4.932499885559082,5.0189690589904785,4.355687141418457,5.787729263305664,4.355687141418457,5.0189690589904785,5.787729263305664,5.034333229064941
80,1,2025-10-06,4.986999988555908,5.009583950042725,4.853616237640381,5.320429801940918,4.853616237640381,5.009583950042725,5.320429801940918,5.010666847229004
80,2,2025-10-07,5.047999858856201,5.026782512664795,4.752187728881836,5.457425594329834,4.752187728881836,5.026782512664795,5.457425594329834,5.010666847229004
80,3,2025-10-08,5.046000003814697,5.0490264892578125,4.619411945343018,5.501581192016602,4.619411945343018,5.0490264892578125,5.501581192016602,5.010666847229004
80,4,2025-10-09,5.075500011444092,5.063232421875,4.640712261199951,5.597329139709473,4.640712261199951,5.063232421875,5.597329139709473,5.010666847229004
80,5,2025-10-10,4.848499774932861,5.051521301269531,4.525069713592529,5.723441123962402,4.525069713592529,5.051521301269531,5.723441123962402,5.010666847229004
80,6,2025-10-11,4.932499885559082,5.099318504333496,4.417246341705322,5.8087077140808105,4.417246341705322,5.099318504333496,5.8087077140808105,5.010666847229004
80,7,2025-10-12,5.016499996185303,5.069489002227783,4.432169437408447,5.781052589416504,4.432169437408447,5.069489002227783,5.781052589416504,5.010666847229004
81,1,2025-10-07,5.047999858856201,4.987770080566406,4.762508392333984,5.311582088470459,4.762508392333984,4.987770080566406,5.311582088470459,4.986999988555908
81,2,2025-10-08,5.046000003814697,4.990079879760742,4.579973220825195,5.349661350250244,4.579973220825195,4.990079879760742,5.349661350250244,4.986999988555908
81,3,2025-10-09,5.075500011444092,4.966409683227539,4.514266014099121,5.478639602661133,4.514266014099121,4.966409683227539,5.478639602661133,4.986999988555908
81,4,2025-10-10,4.848499774932861,4.97776985168457,4.44887113571167,5.531022548675537,4.44887113571167,4.97776985168457,5.531022548675537,4.986999988555908
81,5,2025-10-11,4.932499885559082,4.953699111938477,4.3701276779174805,5.567654609680176,4.3701276779174805,4.953699111938477,5.567654609680176,4.986999988555908
